[Saturday/June 08/06/2024 19:40:24] /home/mha/Videos/Udemy - React - The Complete Guide 2023 (incl. React Router & Redux) 2023-11/02 - JavaScript Refresher/001 Module Introduction.mp4 | length=109.952 | time=1.9716666666667
[Saturday/June 08/06/2024 19:41:59] /home/mha/Videos/Udemy - React - The Complete Guide 2023 (incl. React Router & Redux) 2023-11/02 - JavaScript Refresher/001 Module Introduction.mp4 | length=109.952 | time=4.805
[Tuesday/June 11/06/2024 12:58:58] /home/mha/.local/share/plasma/desktoptheme/Tokyo Night/icons/touchpad.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:13:16] /home/mha/.themes/Kanagawa-B-LB/cinnamon/assets/add-workspace.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:13:17] /home/mha/.themes/Kanagawa-B-LB/cinnamon/assets/calendar-arrow-left.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:13:18] /home/mha/.themes/Kanagawa-B-LB/cinnamon/assets/calendar-arrow-right.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:17:14] /home/mha/.themes/Kanagawa-B-LB/cinnamon/thumbnail.png | length=0 | time=0
[Tuesday/June 11/06/2024 13:17:15] /home/mha/.themes/Kanagawa-B-LB/cinnamon/assets/add-workspace-active.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:17:16] /home/mha/.themes/Kanagawa-B-LB/cinnamon/assets/add-workspace-hover.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:32:57] /home/mha/.themes/Gruvbox-Dark/cinnamon/thumbnail.png | length=0 | time=0
[Tuesday/June 11/06/2024 13:32:58] /home/mha/.themes/Gruvbox-Dark/cinnamon/assets/add-workspace-active.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:32:59] /home/mha/.themes/Gruvbox-Dark/cinnamon/assets/add-workspace-hover.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:33:00] /home/mha/.themes/Gruvbox-Dark/cinnamon/assets/add-workspace.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:33:01] /home/mha/.themes/Gruvbox-Dark/cinnamon/assets/calendar-arrow-left.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:33:02] /home/mha/.themes/Gruvbox-Dark/cinnamon/assets/calendar-arrow-right.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:33:02] /home/mha/.themes/Gruvbox-Dark/cinnamon/assets/checkbox-dark.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:36:58] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/checkmark.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:36:59] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-added.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:00] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-checked.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:01] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-encrypted-locked.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:02] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-encrypted-unlocked.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:03] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-error.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:04] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-favorite.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:05] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-important.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:06] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-information.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:07] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-locked.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:08] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-mounted.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:09] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-pause.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:10] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-question.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:11] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-readonly.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:12] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-remove.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:13] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-shared.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:14] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-success.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:15] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-symbolic-link.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:16] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-unavailable.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:17] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-unlocked.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:18] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-unmounted.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:19] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/emblem-warning.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:20] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/rating-unrated.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:22] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/rating.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:23] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/vcs-added.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:24] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/vcs-conflicting.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:25] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/vcs-locally-modified-unstaged.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:26] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/vcs-locally-modified.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:27] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/vcs-normal.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:28] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/vcs-removed.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:29] /home/mha/.local/share/icons/PlasmaXDark/8x8/emblems/vcs-update-required.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:30] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/accept_signal.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:31] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/accept_time_event.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:32] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/acrobat.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:33] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/action-albumfolder-importdir2.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:34] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/action-rss_tag.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:35] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/activities.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:36] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/activity-fork.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:37] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/actor.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:38] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/add-placemark.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:39] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/address-book-new.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:40] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/addressbook-details.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:41] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/adjustcol.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:42] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/adjustrow.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:43] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/adress-book-new.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:44] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/aggregation.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:45] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/akonadi-phone-home.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:46] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/albumfolder-importdir.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:47] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/albumfolder-importimages.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:48] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/albumfolder-new.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:49] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/albumfolder-properties.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:50] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/albumfolder-user-trash.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:51] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-horizontal-baseline.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:52] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-horizontal-bottom-out.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:53] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-horizontal-center.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:54] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-horizontal-left-out.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:55] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-horizontal-left-to-anchor.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:56] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-horizontal-left.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:58] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-horizontal-right-out.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:37:59] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-horizontal-right-to-anchor.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:00] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-horizontal-right.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:01] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-horizontal-top-out.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:02] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-vertical-baseline.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:03] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-vertical-bottom-out.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:04] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-vertical-bottom-to-anchor.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:05] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-vertical-bottom.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:06] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-vertical-center.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:07] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-vertical-top-out.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:08] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-vertical-top-to-anchor.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:09] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/align-vertical-top.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:10] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/amarok_artist.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:11] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/amarok_cart_add.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:12] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/amarok_cart_remove.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:13] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/amarok_cart_view.svg | length=0 | time=0
[Tuesday/June 11/06/2024 13:38:14] /home/mha/.local/share/icons/PlasmaXDark/16x16/actions/amarok_change_language.svg | length=0 | time=0
